Strain Assessment Type,0,ASME 2016
Calculation Mode,      1, calculated circ and axial. 
Axial smooth factor,   0.001
Circ smooth factor,    0.0001
Channels analysed, 29, 30, 31, 32, 33, 34, 
Intermed circ traces,5
Wall Thickness,    6.350000 mm, 0.250000 in 
OD,                323.850000 mm, 12.750000 in 
Axial Disp  (m)
No of rows, 321, no of cols, 7 
        6277.350208800000473,   0.000085547499962,  -0.001002325227444,  -0.002441837373882,   0.000000000000000,  -0.000952462551309,  -0.000056154087249, 
        6277.352342400000452,   0.000085820613906,  -0.001014185607322,  -0.002461649881528,   0.000000000000000,  -0.000965819504762,  -0.000053427489134, 
        6277.354171199999655,   0.000086039520535,  -0.001024431909681,  -0.002478606935827,   0.000000000000000,  -0.000977437364186,  -0.000051102347336, 
        6277.356304800000544,   0.000086274538136,  -0.001036478664875,  -0.002498357634930,   0.000000000000000,  -0.000991188558213,  -0.000048407014697, 
        6277.358133600000656,   0.000086456804142,  -0.001046882803051,  -0.002515256311052,   0.000000000000000,  -0.001003144097440,  -0.000046114565488, 
        6277.360267199999726,   0.000086645111626,  -0.001059111043188,  -0.002534932660318,   0.000000000000000,  -0.001017289051264,  -0.000043464317267, 
        6277.362400800000614,   0.000086805513165,  -0.001071435244613,  -0.002554564163648,   0.000000000000000,  -0.001031645725386,  -0.000040843651492, 
        6277.364229599999817,   0.000086919412488,  -0.001082073995248,  -0.002571353300394,   0.000000000000000,  -0.001044119790619,  -0.000038623542125, 
        6277.366363199999796,   0.000087022814326,  -0.001094571979455,  -0.002590894110213,   0.000000000000000,  -0.001058869734058,  -0.000036067289408, 
        6277.368192000000818,   0.000087084080568,  -0.001105357271568,  -0.002607601744297,   0.000000000000000,  -0.001071681635313,  -0.000033907931711, 
        6277.370325599999887,   0.000087121217839,  -0.001118023400275,  -0.002627043776521,   0.000000000000000,  -0.001086826482654,  -0.000031428808464, 
        6277.372154399999999,   0.000087121566994,  -0.001128949927583,  -0.002643664420039,   0.000000000000000,  -0.001099977035099,  -0.000029340657391, 
        6277.374288000000888,   0.000087082624710,  -0.001141777085110,  -0.002663003099596,   0.000000000000000,  -0.001115516112153,  -0.000026950258951, 
        6277.376421599999958,   0.000086998872143,  -0.001154687386911,  -0.002682285178591,   0.000000000000000,  -0.001131266521534,  -0.000024612068446, 
        6277.378250400000070,   0.000086889808300,  -0.001165817396797,  -0.002698767613214,   0.000000000000000,  -0.001144934416020,  -0.000022651638464, 
        6277.380384000000959,   0.000086717357772,  -0.001178874612742,  -0.002717944448528,   0.000000000000000,  -0.001161074471834,  -0.000020418016721, 
        6277.382212800000161,   0.000086530016011,  -0.001190126565528,  -0.002734336328967,   0.000000000000000,  -0.001175073774280,  -0.000018551713595, 
        6277.384346400000140,   0.000086264497077,  -0.001203321721561,  -0.002753407091907,   0.000000000000000,  -0.001191596876992,  -0.000016433559538, 
        6277.386175200000253,   0.000085996204439,  -0.001214688884989,  -0.002769708046220,   0.000000000000000,  -0.001205921268370,  -0.000014671174122, 
        6277.388308800000232,   0.000085635254553,  -0.001228016392686,  -0.002788673306300,   0.000000000000000,  -0.001222819327454,  -0.000012680216670, 
        6277.390137600000344,   0.000085284741546,  -0.001239495967492,  -0.002804884549440,   0.000000000000000,  -0.001237460641782,  -0.000011031689282, 
        6277.392271200000323,   0.000084828315334,  -0.001252953595264,  -0.002823745719505,   0.000000000000000,  -0.001254721842601,  -0.000009178203565, 
        6277.394404800000302,   0.000084321837651,  -0.001266480292236,  -0.002842551301999,   0.000000000000000,  -0.001272172240736,  -0.000007401973403, 
        6277.396233600000414,   0.000083849196780,  -0.001278128821935,  -0.002858626504178,   0.000000000000000,  -0.001287276853285,  -0.000005942318331, 
        6277.398367200000393,   0.000083254908614,  -0.001291780805618,  -0.002877330112253,   0.000000000000000,  -0.001305066323541,  -0.000004314245544, 
        6277.400196000000506,   0.000082710872219,  -0.001303534429688,  -0.002893318427286,   0.000000000000000,  -0.001320454266771,  -0.000002984127927, 
        6277.402329599999575,   0.000082038788642,  -0.001317306048834,  -0.002911920985796,   0.000000000000000,  -0.001338565222000,  -0.000001509359677, 
        6277.404158400000597,   0.000081433436799,  -0.001329159432342,  -0.002927823043450,   0.000000000000000,  -0.001354220738534,  -0.000000311823288, 
        6277.406292000000576,   0.000080696318460,  -0.001343043904512,  -0.002946326017346,   0.000000000000000,  -0.001372634185422,   0.000001007312672, 
        6277.408425599999646,   0.000079929662072,  -0.001356986253724,  -0.002964777213317,   0.000000000000000,  -0.001391202068206,   0.000002242386990, 
        6277.410254400000667,   0.000079251912675,  -0.001368981290944,  -0.002980552655640,   0.000000000000000,  -0.001407235765616,   0.000003233991186, 
        6277.412388000000647,   0.000078440837139,  -0.001383025252201,  -0.002998912808136,   0.000000000000000,  -0.001426074820932,   0.000004312792656, 
        6277.414216799999849,   0.000077731502576,  -0.001395103605732,  -0.003014613863907,   0.000000000000000,  -0.001442332777257,   0.000005170879790, 
        6277.416350400000738,   0.000076891828662,  -0.001409239754710,  -0.003032892015956,   0.000000000000000,  -0.001461424307260,   0.000006094427267, 
        6277.418179200000850,   0.000076165127879,  -0.001421392557391,  -0.003048526672823,   0.000000000000000,  -0.001477890793996,   0.000006819396622, 
        6277.420312799999920,   0.000075313034555,  -0.001435609640001,  -0.003066731224394,   0.000000000000000,  -0.001497215457545,   0.000007587008287, 
        6277.422141600000032,   0.000074581902400,  -0.001447825752483,  -0.003082305321563,   0.000000000000000,  -0.001513871701821,   0.000008177746989, 
        6277.424275200000011,   0.000073731276049,  -0.001462108570062,  -0.003100441173451,   0.000000000000000,  -0.001533405142677,   0.000008788602941, 
        6277.426408799999990,   0.000072886368072,  -0.001476418932423,  -0.003118541415966,   0.000000000000000,  -0.001553040523837,   0.000009315527108, 
        6277.428237600001012,   0.000072169097135,  -0.001488701974127,  -0.003134027901419,   0.000000000000000,  -0.001569945833110,   0.000009700985894, 
        6277.430371200000081,   0.000071343349969,  -0.001503045350798,  -0.003152062434539,   0.000000000000000,  -0.001589748300295,   0.000010074476035, 
        6277.432200000000194,   0.000070647395622,  -0.001515345059978,  -0.003167491327521,   0.000000000000000,  -0.001606783672792,   0.000010330243773, 
        6277.434333600001082,   0.000069852234598,  -0.001529693786976,  -0.003185455664502,   0.000000000000000,  -0.001626722287114,   0.000010554499587, 
        6277.436162400000285,   0.000069187401921,  -0.001541986107136,  -0.003200821390040,   0.000000000000000,  -0.001643860712145,   0.000010683986437, 
        6277.438296000000264,   0.000068434676860,  -0.001556312362833,  -0.003218708897020,   0.000000000000000,  -0.001663903064942,   0.000010762896986, 
        6277.440429599999334,   0.000067710167343,  -0.001570614967708,  -0.003236552164122,   0.000000000000000,  -0.001683986840302,   0.000010764871794, 
        6277.442258400000355,   0.000067114486873,  -0.001582849255714,  -0.003251809022150,   0.000000000000000,  -0.001701225982429,   0.000010705822986, 
        6277.444392000000335,   0.000066452550946,  -0.001597085846792,  -0.003269561904601,   0.000000000000000,  -0.001721356055422,   0.000010566053571, 
        6277.446220799999537,   0.000065916339990,  -0.001609250911195,  -0.003284735473331,   0.000000000000000,  -0.001738616460985,   0.000010385039687, 
        6277.448354400000426,   0.000065330493459,  -0.001623391680688,  -0.003302383583037,   0.000000000000000,  -0.001758749372927,   0.000010102164782, 
        6277.450183200000538,   0.000064864666894,  -0.001635461780094,  -0.003317460475242,   0.000000000000000,  -0.001775992972922,   0.000009798069894, 
        6277.452316799999608,   0.000064365790937,  -0.001649477121887,  -0.003334987172823,   0.000000000000000,  -0.001796083149937,   0.000009370968525, 
        6277.454145600000629,   0.000063978102699,  -0.001661426970553,  -0.003349951890324,   0.000000000000000,  -0.001813269879049,   0.000008942117774, 
        6277.456279200000608,   0.000063574491735,  -0.001675286728361,  -0.003367337117379,   0.000000000000000,  -0.001833269377522,   0.000008367453766, 
        6277.458412799999678,   0.000063225532622,  -0.001689049895050,  -0.003384636152357,   0.000000000000000,  -0.001853199021528,   0.000007711465182, 
        6277.460241600000700,   0.000062971306331,  -0.001700763008556,  -0.003399389372529,   0.000000000000000,  -0.001870214520528,   0.000007083513050, 
        6277.462375199999769,   0.000062728636284,  -0.001714321910280,  -0.003416506854380,   0.000000000000000,  -0.001889974247337,   0.000006273715257, 
        6277.464203999999881,   0.000062568269053,  -0.001725845409994,  -0.003431091530426,   0.000000000000000,  -0.001906821708858,   0.000005513420184, 
        6277.466337600000770,   0.000062439044056,  -0.001739165738824,  -0.003447996605141,   0.000000000000000,  -0.001926359107916,   0.000004549212869, 
        6277.468166399999973,   0.000062379922476,  -0.001750469475827,  -0.003462384625308,   0.000000000000000,  -0.001942993183870,   0.000003656633847, 
        6277.470299999999952,   0.000062373771948,  -0.001763515047589,  -0.003479041698861,   0.000000000000000,  -0.001962254841892,   0.000002538762459, 
        6277.472128800000974,   0.000062424499453,  -0.001774567341435,  -0.003493200280168,   0.000000000000000,  -0.001978629441039,   0.000001515920730, 
        6277.474262400000043,   0.000062551577711,  -0.001787300785965,  -0.003509569185713,   0.000000000000000,  -0.001997561531894,   0.000000248358908, 
        6277.476396000000022,   0.000062754066080,  -0.001799850848535,  -0.003525765030670,   0.000000000000000,  -0.002016294225380,  -0.000001097808056, 
        6277.478224800001044,   0.000062989413281,  -0.001810454211614,  -0.003539499329899,   0.000000000000000,  -0.002032180030450,  -0.000002312687245, 
        6277.480358400000114,   0.000063338051216,  -0.001822635854914,  -0.003555338221256,   0.000000000000000,  -0.002050499549135,  -0.000003798894174, 
        6277.482187200000226,   0.000063701563071,  -0.001832907554308,  -0.003568746559091,   0.000000000000000,  -0.002066006913136,  -0.000005129752521, 
        6277.484320800000205,   0.000064201973055,  -0.001844683624460,  -0.003584182532819,   0.000000000000000,  -0.002083857521371,  -0.000006746196642, 
        6277.486149600000317,   0.000064696512860,  -0.001854591716650,  -0.003597227071888,   0.000000000000000,  -0.002098940224867,  -0.000008184035531, 
        6277.488283200000296,   0.000065350172305,  -0.001865925383605,  -0.003612217788571,   0.000000000000000,  -0.002116268744414,  -0.000009918799847, 
        6277.490416800000276,   0.000066086586711,  -0.001877005980145,  -0.003626951785717,   0.000000000000000,  -0.002133293604811,  -0.000011710986157, 
        6277.492245600000388,   0.000066783901608,  -0.001886294047873,  -0.003639367614297,   0.000000000000000,  -0.002147632521291,  -0.000013289578305, 
        6277.494379200000367,   0.000067675307452,  -0.001896875832345,  -0.003653593400309,   0.000000000000000,  -0.002164050809974,  -0.000015177435016, 
        6277.496208000000479,   0.000068506814995,  -0.001905720134103,  -0.003665556329793,   0.000000000000000,  -0.002177846026146,  -0.000016832557391, 
        6277.498341600000458,   0.000069556388496,  -0.001915765789336,  -0.003679233759203,   0.000000000000000,  -0.002193602771760,  -0.000018803568892, 
        6277.500170400000570,   0.000070524654976,  -0.001924135582726,  -0.003690709605698,   0.000000000000000,  -0.002206808338816,  -0.000020525174479, 
        6277.502304000000549,   0.000071734562981,  -0.001933610973877,  -0.003703799354003,   0.000000000000000,  -0.002221851531505,  -0.000022568804572, 
        6277.504132800000662,   0.000072840795250,  -0.001941477886089,  -0.003714755663844,   0.000000000000000,  -0.002234424015033,  -0.000024348918253, 
        6277.506266399999731,   0.000074212652316,  -0.001950350818627,  -0.003727222137012,   0.000000000000000,  -0.002248704433793,  -0.000026456908591, 
        6277.508400000000620,   0.000075672970884,  -0.001958887410793,  -0.003739339426536,   0.000000000000000,  -0.002262554917269,  -0.000028596283405, 
        6277.510228800000732,   0.000076995803331,  -0.001965930990619,  -0.003749440841932,   0.000000000000000,  -0.002274075203988,  -0.000030453284397, 
        6277.512362399999802,   0.000078622608361,  -0.001973822629872,  -0.003760885417416,   0.000000000000000,  -0.002287095166963,  -0.000032645251948, 
        6277.514191200000823,   0.000080088528140,  -0.001980302282042,  -0.003770396877335,   0.000000000000000,  -0.002297886709115,  -0.000034544568121, 
        6277.516324800000802,   0.000081882309969,  -0.001987523685073,  -0.003781138133002,   0.000000000000000,  -0.002310037599396,  -0.000036782578783, 
